dyu,fr
bɔbara bugɔ dagalen do .,La fessée c'est interdit.
a ma kan ka mɛn.,Il ne faudra pas que ça dure trop longtemps.
Gavora ko ka taga numucɛ yala kana n'a ye a sɔkɔra ka n'a n'a ye,"Cavrois lui dit d'aller quérir le forgeron, qu'il ramena."
o bɛ tun ka kɛnɛ tiɲɛna,"Tous se portaient merveilleusement bien, en effet."
Arthur bana salo,Arnulphy meurt l'année suivante.
Mugan ni kɔnɔntɔn sira Lunarɛt bisaba ni naani fu fu fu Mɔnteliye la.,"vingt-neuf rue Lunaret, trente-quatre, zéro zéro zéro à Montpellier"
Buran ka sira Sebazak Cɔnkurɛs.,"Rue de Bourran, Sébazac-Concourès"
Ɲamɔgɔmuso a ye na jona.,"Madame la directrice, venez vite."
Nga a yɛrɛyɛrɛla.,Mais il tressaillit.
Rɛns ka kalankɛyɔrɔ dɔ y'a tɔgɔ ta ani dugun ka sira dɔ.,"Un lycée de Reims porte son nom, ainsi qu'une rue de la ville."
N'a le lo a kaɲ ka kɛ kɔnɔnnajugu,Il doit vous être alors aussi odieux qu'à moi.
"A tun bi sɔkɔ ka wili ka dɔɔnikɛ, k'a yɛrɛ fifa","Il se relevait, piétinait, s'éventait."
Sira Saba filamand,trois rue Flamande
A y'a lajɛ ani ka lalaga,Il examine et range.
I ka lɔnniya ka d'a fa ye kɔsɔbɛ.,Son père prise ton savoir.
Tumanina o bɔra jira Myriɛli saara,"Quand ils sortent de l'eau, Muriel est morte."
Lon bɛ sɔgɔma ale le tun bi se bɛ kɔfɛ kalan sora,tous les matins elle était la dernière à arriver à l'école.
A bangibagaw y'a bila ka tag'a bamuso fɛ cɔt d'azyr la,Ses parents l'envoient chez sa grand-mère maternelle dans les Côtes-d'Armor.
A tun lɔni be yi a kabako ni,"Il demeurait là, béant."
Omɛr m'a sɔrɔ ka kɛ siranbagatɔye,Omer ne voulut pas être lâche.
I ka yɔrɔ cɛkaɲi,Il fait beau.
O ka ca kɔsɔbɛ,Elles sont trop nombreuses.
N bi saan fɔlɔ lo ra,Je suis en première année.
yɔrɔjumale,C’est où ça?
Aw kanu le do,vous êtes aimé.
nunu kɔrɔ nunu,Ces grands-ci.
a bi balora bibi ni n'a aris marala,Il vit actuellement dans la ville d'Århus.
A tun ka di kosɔbɛ,C’était très bon.
Charifa ka dogô mousso bi fouroula sini kè nè,La sœur de Seisser se marie avec le chevalier von Braun.
Kow maɲi,ça ne va pas.
A ba ɲinina ka famu ko miw lo,Il essaye de savoir ce que c’est.
O ka cɛ denni fila nunuw na zozɛfu le ye fɔlɔ ye,Josef est le premier de leurs deux fils.
Oh nga bi yèlè la,"Oh! mais, je ris."
Olou koni nana,"Eux, ils liraient."
N ga a madimina a mɛɛna,Il est cependant longtemps blessé.
a bi n'a gɛlɛya an kan daje Nin ko ni kan,Ça va être difficile de passer la chose sous silence.
olie jaa sigi ni lo,Monsieur Ollier est rassuré
o ka woso ka bon kojugu,leurs patates sont sacrément grosses.
Mɔgɔw be yi wa,Les gens sont là-bas.
I bi na I dɔgɔ muso kanu,Tu aimeras ta sœur.
"N t'la ra n ka sɛbɛli la, n n'a d'i ma wa ?","J'ai fini mon bouquin, je te le passe?"
kuma dira filip uyon le ma,La parole est à Monsieur Philippe Houillon.
A dɛsɛra ka baara dabila.,Il est alors contraint de démissionner.
Katoka segideni min a y'a minɛ k'a di Adɛl ma.,Remettant le petit panier qu’il tient à Adèle.
"A y'a muso kunbɛn yen fana, Keli Kayil .","Il y rencontre notamment sa femme, Kellie Kyle..."
A bi si an'a bi baraka kɛ Pari ani Ni Yɔrk ra.,Elle vit et travaille à Paris et à New York.
A diara o ye.,Ils ont aimé.
O bina a minɛ ni sorasiw y'a lɔn ko ale lo.,Il sera attrapé si les policiers le reconnaisse.
Nin bara nin ya warawara dɔni n ga a sigɛn tun ka bon.,"Ce travail le réchauffa un peu, mais sa fatigue était extrême."
a sɔrɔ ma din ni yɔrɔ ni n'a,Pas facile de trouver ça dans le coin.
Tere ka sira Rɔsfɔr Samsɔn na.,Chemin des Terrets à Rochefort-Samson
Nin hakili diman ye a b'a ka kalansora sɛbɛ laban filɛra ni nisɔndiaye,"Les yeux lourds, il contemple avec plaisir son dernier cahier d’écolier."
n tun y'a kɔrɔsi ka ye k'o jaama fana tun son ni bɛ n ka kuma ma,J'avais constaté que le public partageait mon opinion.
n tun ye n yɛrɛminɛ ka sɔkɔ nin kuma ni kan,Je m'étais bien gardé de revenir sur cet entretien.
ali armonik n'a o man ca yi,"Même en Armorique, ils sont rares."
anɛt tun bi to a kelen tumani dɔra,Annette restait seule souvent.
O kɔni ɲamɔgɔcɛw b'a fɛ yanyɔrɔla yɛrɛ.,Eh oui ! elle a des amants ici même.
kuna foli foyi ma di jɛnkulu kɔnɔ hali tɔgɔ,"Aucune information n'est révélé sur le groupe, pas même le nom."
n ne bi mule ɲinina aw fɛ Nin bɛ kɔ,Qu’est-ce que je vous demande après tout ?
n ga n jaa sigini tɛ a bi n'a kɛ cogoyasi min na ka ɲɔgɔn ye labɛ ni somɔgɔ ye,"En revanche, je m’inquiète de savoir comment sera organisée la concertation avec la famille."
"Da tugu ka ɲɛ, janko o kana fɔ ko bi boli.",Ferme bien la porte de crainte qu’il n’essayent de fuir.
o bi mɔgɔboɲɛ nunu barakɛ yɔrɔ nunu na,Ils sont polis dans ces administrations !
a ba tun ba kɔnɔna a jatigɛ ni yelen kɔnɔ,"Sa mère l’attendait, anxieuse, à côté d’une bougie."
Daozon ka sira,Route de Doazon à Serres-Sainte-Marie
A bi kalan kɛra.,il lit.
Frégate ka témè sira,Allée des Frégates au numéro cinq
Tèmè baga bè ti a yé,Les passants partent également en courant.
kasodenw ba fɛɛ ali bɛla wa ? Fɔɲi teyi tuguni.,Avez-vous des prisonniers ? Aucun encore.
a bɛ lɔnla dɔɔni wa ?,Me reconnaissez-vous un peu?
kraiɲɔn lo dɔ wa ?,Est-ce que c’est un crayon ?
o ba fɔ.,On le dit.
Danvay ka sira,"Route de Davayé, Charnay-lès-Mâcon"
Ma seka yé ka fô onhon,Je n’ai jamais su dire non aux belles femmes.
Oya mandimi ani ka minè,Ce dernier fut blessé et capturé.
Ayé brifabi di o ma ani wari fana,Elle leur donne également des couvertures et de l'argent.
A bi seka kè songon dima yé wa?,Il peut être meilleur marché ?
A bi Sega ne dèmè wa?,Pouvez-vous m'aider ?
Mougan,vingt.
Minan laban ka ta brouillon nan,Je finirai par aller au bouillon…
Sèbè,Le livre.
A kèrè deli nan ko yé,"On a pris l’habitude de dire des âmes, entre nous."
Tchè mougan walima bissa tounbé kèlè kèra yan,Vingt ou trente messieurs se disputaient là.
Oyo bâ ni fawou faga san dala ni,Leurs parents ont été tués plusieurs années plus tôt.
I tounteyi sissan ni ka dôtôrotchè yé wa?,Tu n’étais pas tout à l’heure avec ton médecin ?
As bé Mr garadou lon wa,Vous connaissez donc beaucoup Monsieur Garadoux ?
Orozaɛn bi kɛlɛla a ka cɛ ka ɲamɔgɔyara,Rosalinde se plaint de l'infidélité de son mari.
O ti kɛ ka ye ne yɛrɛ sɔn na o ma,"Jamais, je le confirme."
Nin ni toyi an bɛ ka miriyatala,Je laisse cela à la réflexion de chacun d’entre nous.
n y'a ɲafɔ n ka barakɛ ɲɔgɔnw bɛ ye,J’en ai parlé à tous mes collègues.
A bi bɔ ardɛn,Il vient des Ardennes.
Sebasiyɛn Miyɛngo tɛmɛtɔla Franse .,"Sébastien Muyengo, de passage en France."
"Favantine ka sira, Valans .","Rue Faventines, Valence"
"Anayis , Mopɛrtis ka muso.","Anaïs , femme de Beauperthuis."
Sria do goli,Rue Edward Warin à Champniers
Jii Nin jaanino,L’eau est dure.
Nga a y'a filɛ ni nin ti nalomayaye ni a bi famuya tiɲɛ na,"Or, voyez si ce n’est pas bête, Si cela se comprend vraiment."
A dencɛ Erekratɛz gann'a kɔ,Son fils Eurycratès lui succède.
Yorô la mini ni bi Sega ta flè,Le phare est visitable.
Aya yèrè minè à kèli la,Il se garda bien de le faire.
"Ni touma ni nan,julienne bi dona","A ce moment, Julienne entrait."
Nin yi sabana ta a bi na se ka doussou souma wa!?,"Si je prends la troisième, sera-t-elle à la hauteur de mes espoirs?"
O faranan sissan,Ils sont séparés maintenant.
A bi na dia ngné ka ta Russie low dô ra,J’aimerais aller en Espagne un jour.
Aw bena mun le kɛ.,Qu’est-ce que vous allez faire ?
taa waati sera,il est temps d'y aller.
A bi somi na kodo ma,Il se doute de quelque chose.
Dougou kolo kagni ni sènè yé,Le sol ne valait rien pour la culture.
zavie ovɛrisɔn fana ye dɔkililabaga dɔ fana ye,Xavier Oberson est aussi musicien.
faviɛr ka sira modan,"Rue de Chavières, Modane"
jowar ka sira bidan kɔnɔnala,Rue de Souhara à Bidart
Ne bɛ bɔ Ameriki .,Je viens d’Amérique.
Bissaba ni konnonton,Trente-neuf.
A bi seli là mba flê la na yandé bi yèrè yèrè la,Marcelin le regardait avec des yeux tremblants.
A bi min do?,Il est où ?
A bâ kalan la yannama,Il lit.
A bah lon wa?um teri lo,Vous le connaissez ? C'est mon ami.
A nana kan nfatchè lo koumbê,Il est venu pour rencontrer mon père.
Ah korotchè lo,Notre frère.
I fourou ni lo wa?,Tu es marié ?
Wari djomi lo tora i de?,Combien te reste-t-il d’argent?
Kɛnɛma kan dɔ.,UNE VOIX DU DEHORS.
M bi ni bougô koulokè touma na,Je te défonce à la récré.
Tèmè sira,Chemin de Commarque à Brax
Mɔgɔw bi ben ben na.,Des gens s'affaissaient.
Hakiliɲagami tan ni duuru.,Une quinzaine d'huluberlus.
Albɛr Raspiye ka sira Esɛr.,"Rue Albert Raspiller, Essert"
Ayina ka tɛmɛsira Bulɔk.,"Chemin des Aynats, Bouloc"
Nne ka sɛbɛri kɛ fɛn le.,C’est mon crayon.
Ekɔli fɔlɔ ka bon.,Salles de l’ancienne école.
Kuseta ka tɛmɛyɔrɔ den naani.,quatre chemin du Couchetat
A tun bi bolila wo ba fanfɛ.,Ils couraient au gouffre.
Juan Lozano ka sira Koɲak.,"Rue Juan Lozano, Cognac"
Biwolonfila ni keleen,soixante et onze.
o y'a bugɔ,Il a été frappé.
Bara da la tcja en fè,J’ai trop de travail.
N la ni lo a ta k'a diara ye,je suis sûr qu'elle aima.
A bi se ka kɛ a bi kunu.,Elle va peut-être se réveiller.
Napoleyɔn ka sorasi korow.,Ces vieux soldats de Napoléon!
Nin y'an sɔrɔ a fɔlɔnan le ye.,C’est la première fois que ça nous arrive...
Chaigne ka sira Sainte-Marie-de-Ré,"Route des Chaignes, Sainte-Marie-de-Ré"
Wakati juma le kankan walima Aka se garila,Combien de temps faut-il pour aller à la gare ?
Musow bi sanwolo wolonfilanan la.,Les femmes sont au septième ciel.
A ɲan dini lo Miami ka duguba ma.,Elle fait face à la ville de Miami.
Librɛri nin be min?,Où est la librairie ?
Aw bi basikɛt zuwera wa?,Vous jouez au Basket ?
Bri ka Rue tan ni naani.,quatorze rue de Bry
"Pavade ka sira, rɔs blans kɔnɔna na.",Rue de la Pavade à La Roche-Blanche
Kɛlɛba daminɛ na.,La bataille commence
ala ka san hɛrɛ di an bɛɛma,Heureuse année à tous.
"A bi a kɛto wo, n bi fɛka hotɛl Iltɔn ka nimero sɔrɔ.","Je voudrais avoir le numéro de l'hôtel Hilton, s'il vous plait."
Hɛrn ka sira wɔrɔnan na.,Rue d'Herne au numéro six
jɛrmɛn ye kɔnɔna pɔrti ni yɛlɛ,Germain ouvre la porte du fond.
I ye mulo ta a ka wolo lon kama,Tu lui as pris quoi pour son anniv?
lorans saval ka sira pari kɔnɔna na,Rue Laurence Savart à Paris
Yiri lu den saba.,trois maisons en bois.
Wakati t'an fɛ tuman bɛɛ ka miri.,On n'a pas toujours le temps de penser.
Ji vɛr den den fila a y'a kɛto.,Deux verres d’eau s’il vous plait.
rusi kasa,L'odeur de roussi
tu ma juma lo a bi n'a taga delinikɛ,Quand est-ce que vous irez à Delhi ?
ten lo,C’est comme ça.
a kanalara k'a ka cogi,Ne croyez pas que vous êtes intelligent.
Aw ba lon a ba fɛ ka min fɔwa,Vous savez ce qu'il veut dire ?
a ka d'aw ye ubiɛ a ma d'aw ye,Ça vous plaît ou ça ne vous plaît pas.
n bi se la munle kɛ Aw ye,Qu'est-ce que je peux faire pour vous ?
Veveille ka sira,Rue des Véveilles à Cluis
Andoin ka sira,"Rue des Prés de Julie, Andoins"
Boeres ka tèmè sira,"Chemin Dès Boeres, Gap"
"Gêlê ya baana,Pauline ko té",Sauvée ! murmura Pauline.
Kèlè djougou ka lacaleli,Voici le récit de l’attentat.
Poigny ka sira deni,"Sente de Poigny, Gazeran"
Yèlè mani foyi Ti kè a la,L’amendement est défendu.
"FO ala fè,bôbo ka kanou","Adieu, amour de sourd !…"
Moutier ka sira,Route du Moutier à Ahun
Fila bourou gnimi la le toun,Il était herbivore.
Mina ta gimga na sini,J’irai à Guingamp demain.
Sigi na wèrè,D’autres chaises.
I lalni lo a râ ka bina dia an yé wa?,Tu es sûr qu’on aimerait.
Rugbi bi tounou na,Le rugby disparaît.
Abbé devo ka sira,douze rue de l'Abbé Devaux
O bi mounou bougô ka tèmè,Les gens les plus frappés.
Boni don da lo,C’est la porte de la maison.
Toulouse sira lo,"Rue Jean Gayral, Toulouse"
Ne le yi wqlkor ka fama debi yé,Je suis le marquis de Valcor.
Dolfiss ka sira,"Rue Dollfus, Mulhouse"
Ka laban yamôgô yé,"En résumé, pour le Pr."
A kakan ka soumagnan,On doit lui reprocher cela.
Bèze ka têmê sira,Chemin de Bèze à Chazeuil
Ni yé flakè ni bâ ga le yé,J’ai vu le docteur Keraotred.
Ko filan nan,Le deuxième acte à Clermont.
Ayi akè tô ayi moulo fo,"Excusez-moi, qu'avez-vous dit ?"
Djon tigi lo,C'est qui ?
Outarville ka sira,"Rue de Poily, Outarville"
O bâ ni kô bina barô la low,"Après cela, je mettrai un terme à la discussion."
O yèna aya ka papier diyan,"C’est bien, donnez-moi vos certificats…"
Ayi an fa yinanka,Demandez au Père Ronsin.
Alah ka tando,Que Dieu soit loué !
Aw ya tôni dian,Donnez-moi les autres.
Kan a chocôra aka douhoura a doña polici ya râ,"De retour en Irlande, il s'engage dans la police."
Charly Chaplin ka sira,Rue Charlie Chaplin à Dijon
Faɲɛns ka tɛmɛsira Montoban kɔnɔna na.,Chemin de Fayence à Montauban
A kili gnouma,Endémique à Lanzarote.
Mɔgɔw bi tamul fɔ,Les gens parlent tamoul.
"A bɛɛ y'a mɛ kɛ, ayiwa.","À bon entendeur, salut"
A bi mirila ka na n'a ye.,Elle songea à la faire venir.
N ɲa ti kɔnɔni na..,La prochaine fois.
N ti nin fɛ.,Des transports éclatent.
Ani sinwaru ka sira kan.,Et par des chinois de chemins.
Sariya le.,C’est le règlement.
K'a to fan ma.,Quant à l’œuf !…
Klisi ka bonda.,Porte de Clichy.
Pap Diɔp bora ale la.,Pape Diop lui succède.
A ye kuma kan dɔw dafa,Il complète un échange.
Duguba,Sa capitale est Cúcuta.
Nga Mark Vizie ban na.,Mais Marc Vigier refuse.
Nin ye daninkɛla ye,C’est l’inventaire.
N tun bi tɔriw kan mɛna,Tu entendais les grenouilles.
A ma deli ka kɛ o fɛ ka ye,Ils n’en ont jamais assez.
A bi na kɛ i dɔgɔmusomani fɛ,elle aimerait ta sœur.
O cɛ to gundo la,Leur relation reste secrète.
A bi sɔrɔ dugukolo la.,Elle est située à de la Terre.
a le le tugura marx leviɲ na,Il y succède à Max Lavigne.
"Krevɛn ka sira, Bose .",Route de Crevin à Bossey
N ɲan ti kɔnɔnin nin na.,Je ne vois pas l’oiseau.
Nou nou ka sira lo,La disette faisait des ravages dans les campagnes.
ji sira b'a ka mara kɔɔ tigɛ,Le Gué traverse la commune.
"Moris Rɔntɛn , Mɛnzin donda.","Rue Maurice Rontin, Mézin"
"Alamusa, sangayɛlɛ lon.",jeudi de l'Ascension.
Fɔɲɔn tun y'a fiyɛ.,Le vent avait forci.
Ɲan le n kɔrɔta nin lo.,C’est là que j’ai été élevé…
Fɔkabako kadi o ye.,Il leur faut du miracle.
ayi a dɔ na.,"Non, il est rentré."
Ka a kan to nan ma.,S’adressant au lit.
Karlɔs tun bi dɔnkili la ra ɲanaman.,Carlos chantait bien.
Ɲiningali ma k'i ma ka ye.,Tu n'es jamais à la question …
Kɔrɔsilikɛlaw la so Meyimake .,Résidence des Gardes à Meymac
N sigɛn na yɛrɛ yɛrɛ la.,Tout à fait fatigué.
An bi dɔgɔni musoman fɛ.,Nous aimions ta sœur.
Djoumè lo ya kilé ni yé,Quelle est la logique ?
Nilé ya sira kilé ni yé,Des flibustiers avancent.
Cartney ka mobili,Tour de Paul McCartney.
A ye Kevɛn ladɔnia,Elle repère Kevin.
Ale lo n k'a kɛ.,"Impasse Pitot, Nîmes"
I bi fɛ ka kuma wa? A ko.,Veux-tu parler ? dit-il.
n bi dɔgɔ muso fɛ.,J’aimai ta sœur.
Ibi na sega kiulé wa,Mais tu vas arrêter de crier?!
Aka chéri bi min,Votre amant ? Oui.
A sigé ni lo,"Nasie, sois en repos."
A ta bi yan,Donc il fallait la conserver.
A djati ni lo,C’est considérable.
A tɔgɔ ko Andrewi.,Il s’appelle Andrew.
Ni aw nana anw be ta.,"Jamais, je le confirme."
ka sira nɔgɔya ani kɔni Bali y'a,Bon voyage et sans rancune.
n bi n'a taga firansi,Je vins en France.
A fili la tougouni,Une erreur de plus.
Se beya diman b'o bolo ni fãga t'a ra.,Elles ont un pouvoir sucrant très faible.
Kumakan kelen min tun bi fɔra ale le bi fɔra tuguni.,Les mêmes propos que devant se répétèrent.
jugu nunu ti kulon kɛ bagaw ye,Les ennemis sont donc des personnages non jouables.
Bô dara bina yèlè fitini,Ce soir je rirai moins.
I b'a lɔn ko i ma barakɛta nɔgɔman ta.,Tu sais que tu n’as pas choisi un métier facile.
A sɔngɔ ka ca kojugu.,C’est pas trop cher.
A b'a kalan.,Il lit.
Samara senkelen bi n fɛ.,J’ai une paire de chaussons.
Bonnaz ka sira,"Route de Bonnaz, Fillinges"
A taga bô ni kènè ya ra,Depuis que je suis de nouveau en bonne santé.
An kanou le lo,Nous sommes aimés.
Nga o bin'a kɛ k'o minɛ.,Mais comment font-ils pour les attraper?
Ka to o kan ka albirɛt vorɛt ban n'a vorian ta fɔtaw ma,"Dans cette situation, Abulurd Harkonnen refusa les ordres de Vorian Atréides."
univɛrs min ye kalan ba ye nin bɔra segɔndɛr I bi da mi kɛ ni ale kilara o bi ni sigi I ye fɛn min bɛkɛ I ba ɲagɔ,"La remise de la licence, avec la déclaration des notes, suit la soutenance."
kogo fen miw bɛɛ bɔra afrki tle biɲan fan fɛ,Ils constituent les derniers chevaux sauvages de l'Est de l'Afrique.
Kounko lo ibi min fora,"«Vive l'Empereur !» cria la gorge du major, malgré son âme raisonneuse."
"Kulon kɔfɛ, ne ta kɛra keleen keleen","Après le jeu, il ne leur en restait qu’un seul à chacun."
a ba yɛrɛdona mu le ra,"Oh ! non, mais de quoi se mêle-t-il ?"
sangolo filanan,Au second étage.
Aw ka fɛw san,Il faut donc baisser les dépenses.
A bi n bolo le kan,c'est à moi de jouer.
Aba yèrè gnagamina koni na,Les débouchés de couloirs sont traités en carreaux blancs biseautés classiques.
Sanvolo fila nan,"On préfère, par conséquent, le chaos à une clarification que l’on corrigerait ensuite par la loi."
A balima tcjè bi état uni,Son père a une idée fixe et persistante d'immigrer aux États-Unis.
Nbina yèlè a bi na yèlè,"J'ouvrirai, je n'ouvrirai pas, est-ce que vous ouvrirez, qu'est-ce que vous ferez."
bon mugan ni kelen,Vingt et une maisons.
A bi tin tin na ka ka sara,Il exige qu’il paye.
Ko gêlin tè,"Le notaire , se levant."
Wulumi no n tuguni lo a kɔ,Le chien que je poursuis.
Aw yi n dɛmɛ caman.,Vous m’avez beaucoup aidé.
Ko mun lo bi kɛ?,Alors que faire?
Sariya lo b'a fɔ.,C’est la loi qui le dit.
Gafe nunu ti galon tigɛ.,Les livres ne manquent pas.
Ko gwɛlɛnma tɛ,C'est pas dramatique.
A kalo saba lo sera ten.,il y a trois mois.
Aw tina se ka to.,Vous ne pourrez pas rester.
I to ni jagwɛlɛnya ye n facɛ,"Ayez bon courage, mon oncle!"
Aw bɛn na jumɛ le kan,Qu'avez-vous décidé ?
Nin gafen ni ka di n ye,J’aime ce livre.
A kɔni fin tɛ ten,"Merci, monsieur le député."
Un dani bra kabi na ko fè,je suis sûr qu'elle aimera.
Aw ye min ye a ra,Voilà ce que nous proposons.
Aw bi mule fɛ,Qu’est-ce que vous voulez ?…
a ka yɔrɔ bi mi,Où habitez-vous ?
kalan diman,La principale leçon.
I ye I bi fɛ ka mule fɔ,Quoi ? que voulez-vous dire ?…
I tama cogo kɔrɔsi,Attention aux marches.
Nin kad'aw ye,Cela vous plait ?
O ti songon môgô la,Elles ne grognent pas.
Bercy bi môgô yèlè ma,"Bercy, ça change un homme"
Kofè min kèra,Après ce qui est arrivé …
